VARIACAO,HUMOR,COGNICAO,COMPORTAMENTO,PERCEPCAO,FISIOLOGICO,RISCO,DURACAO,RESULTADO
41,culpa delirante,ideacao suicida,suicida,nao especificado,alteracoes de peso significativas,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
42,sentimentos de inutilidade,plano suicida,tentativa de suicidio,nao especificado,alteracoes no apetite,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
43,desesperanca,problemas de memoria,retraimento social,nao especificado,insonia,evento traumatico,> 2 semanas,transtorno depressivo maior
44,angustia generalizada,preocupacao,choro,nao especificado,hipersonia,perda significativa,> 2 semanas,transtorno depressivo maior
45,autoaversao,ruminacao,suicida,nao especificado,perturbacoes do sono,neuroticismo,> 2 semanas,transtorno depressivo maior
46,sentimentos de desvalia,recordacao intrusiva,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,herdabilidade,> 2 semanas,transtorno depressivo maior
47,sofrimento intenso,perda de interesse,retraimento social,nao especificado,fadiga persistente,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
48,melancolia,dificuldade para pensar,choro,nao especificado,perda de energia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
49,humor deprimido,dificuldade de concentracao,suicida,nao especificado,sintomas somaticos,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
50,disforia,indecisao,tentativa de suicidio,nao especificado,catatonia,evento traumatico,> 2 semanas,transtorno depressivo maior
51,anedonia,pensamentos recorrentes de morte,retraimento social,nao especificado,alteracoes de peso significativas,perda significativa,> 2 semanas,transtorno depressivo maior
52,tristeza,ideacao suicida,choro,nao especificado,alteracoes no apetite,neuroticismo,> 2 semanas,transtorno depressivo maior
53,culpa delirante,plano suicida,suicida,nao especificado,insonia,herdabilidade,> 2 semanas,transtorno depressivo maior
54,sentimentos de inutilidade,problemas de memoria,tentativa de suicidio,nao especificado,hipersonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
55,desesperanca,preocupacao,retraimento social,nao especificado,perturbacoes do sono,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
56,angustia generalizada,ruminacao,choro,nao especificado,perturbacoes psicomotoras,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
57,autoaversao,recordacao intrusiva,suicida,nao especificado,fadiga persistente,evento traumatico,> 2 semanas,transtorno depressivo maior
58,sentimentos de desvalia,perda de interesse,tentativa de suicidio,nao especificado,perda de energia,perda significativa,> 2 semanas,transtorno depressivo maior
59,sofrimento intenso,dificuldade para pensar,retraimento social,nao especificado,sintomas somaticos,neuroticismo,> 2 semanas,transtorno depressivo maior
60,melancolia,dificuldade de concentracao,choro,nao especificado,catatonia,herdabilidade,> 2 semanas,transtorno depressivo maior
61,humor deprimido,indecisao,suicida,nao especificado,alteracoes de peso significativas,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
62,disforia,pensamentos recorrentes de morte,tentativa de suicidio,nao especificado,alteracoes no apetite,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
63,anedonia,ideacao suicida,retraimento social,nao especificado,insonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
64,tristeza,plano suicida,choro,nao especificado,hipersonia,evento traumatico,> 2 semanas,transtorno depressivo maior
65,culpa delirante,problemas de memoria,suicida,nao especificado,perturbacoes do sono,perda significativa,> 2 semanas,transtorno depressivo maior
66,sentimentos de inutilidade,preocupacao,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,neuroticismo,> 2 semanas,transtorno depressivo maior
67,desesperanca,ruminacao,retraimento social,nao especificado,fadiga persistente,herdabilidade,> 2 semanas,transtorno depressivo maior
68,angustia generalizada,recordacao intrusiva,choro,nao especificado,perda de energia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
69,autoaversao,perda de interesse,suicida,nao especificado,sintomas somaticos,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
70,sentimentos de desvalia,dificuldade para pensar,tentativa de suicidio,nao especificado,catatonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
71,sofrimento intenso,dificuldade de concentracao,retraimento social,nao especificado,alteracoes de peso significativas,evento traumatico,> 2 semanas,transtorno depressivo maior
72,melancolia,indecisao,choro,nao especificado,alteracoes no apetite,perda significativa,> 2 semanas,transtorno depressivo maior
73,humor deprimido,pensamentos recorrentes de morte,suicida,nao especificado,insonia,neuroticismo,> 2 semanas,transtorno depressivo maior
74,disforia,ideacao suicida,tentativa de suicidio,nao especificado,hipersonia,herdabilidade,> 2 semanas,transtorno depressivo maior
75,anedonia,plano suicida,retraimento social,nao especificado,perturbacoes do sono,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
76,tristeza,problemas de memoria,choro,nao especificado,perturbacoes psicomotoras,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
77,culpa delirante,preocupacao,suicida,nao especificado,fadiga persistente,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
78,sentimentos de inutilidade,ruminacao,tentativa de suicidio,nao especificado,perda de energia,evento traumatico,> 2 semanas,transtorno depressivo maior
79,desesperanca,recordacao intrusiva,retraimento social,nao especificado,sintomas somaticos,perda significativa,> 2 semanas,transtorno depressivo maior
80,angustia generalizada,perda de interesse,choro,nao especificado,catatonia,neuroticismo,> 2 semanas,transtorno depressivo maior
81,autoaversao,dificuldade para pensar,suicida,nao especificado,alteracoes de peso significativas,herdabilidade,> 2 semanas,transtorno depressivo maior
82,sentimentos de desvalia,dificuldade de concentracao,tentativa de suicidio,nao especificado,alteracoes no apetite,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
83,sofrimento intenso,indecisao,retraimento social,nao especificado,insonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
84,melancolia,pensamentos recorrentes de morte,choro,nao especificado,hipersonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
85,humor deprimido,ideacao suicida,suicida,nao especificado,perturbacoes do sono,evento traumatico,> 2 semanas,transtorno depressivo maior
86,disforia,plano suicida,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,perda significativa,> 2 semanas,transtorno depressivo maior
87,anedonia,problemas de memoria,retraimento social,nao especificado,fadiga persistente,neuroticismo,> 2 semanas,transtorno depressivo maior
88,tristeza,preocupacao,choro,nao especificado,perda de energia,herdabilidade,> 2 semanas,transtorno depressivo maior
89,culpa delirante,ruminacao,suicida,nao especificado,sintomas somaticos,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
90,sentimentos de inutilidade,recordacao intrusiva,tentativa de suicidio,nao especificado,catatonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
91,desesperanca,perda de interesse,retraimento social,nao especificado,alteracoes de peso significativas,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
92,angustia generalizada,dificuldade para pensar,choro,nao especificado,alteracoes no apetite,evento traumatico,> 2 semanas,transtorno depressivo maior
93,autoaversao,dificuldade de concentracao,suicida,nao especificado,insonia,perda significativa,> 2 semanas,transtorno depressivo maior
94,sentimentos de desvalia,indecisao,tentativa de suicidio,nao especificado,hipersonia,neuroticismo,> 2 semanas,transtorno depressivo maior
95,sofrimento intenso,pensamentos recorrentes de morte,retraimento social,nao especificado,perturbacoes do sono,herdabilidade,> 2 semanas,transtorno depressivo maior
96,melancolia,ideacao suicida,choro,nao especificado,perturbacoes psicomotoras,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
97,humor deprimido,plano suicida,suicida,nao especificado,fadiga persistente,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
98,disforia,problemas de memoria,tentativa de suicidio,nao especificado,perda de energia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
99,anedonia,preocupacao,retraimento social,nao especificado,sintomas somaticos,evento traumatico,> 2 semanas,transtorno depressivo maior
100,tristeza,ruminacao,choro,nao especificado,catatonia,perda significativa,> 2 semanas,transtorno depressivo maior
101,culpa delirante,recordacao intrusiva,suicida,nao especificado,alteracoes de peso significativas,neuroticismo,> 2 semanas,transtorno depressivo maior
102,sentimentos de inutilidade,perda de interesse,tentativa de suicidio,nao especificado,alteracoes no apetite,herdabilidade,> 2 semanas,transtorno depressivo maior
103,desesperanca,dificuldade para pensar,retraimento social,nao especificado,insonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
104,angustia generalizada,dificuldade de concentracao,choro,nao especificado,hipersonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
105,autoaversao,indecisao,suicida,nao especificado,perturbacoes do sono,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
106,sentimentos de desvalia,pensamentos recorrentes de morte,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,evento traumatico,> 2 semanas,transtorno depressivo maior
107,sofrimento intenso,ideacao suicida,retraimento social,nao especificado,fadiga persistente,perda significativa,> 2 semanas,transtorno depressivo maior
108,melancolia,plano suicida,choro,nao especificado,perda de energia,neuroticismo,> 2 semanas,transtorno depressivo maior
109,humor deprimido,problemas de memoria,suicida,nao especificado,sintomas somaticos,herdabilidade,> 2 semanas,transtorno depressivo maior
110,disforia,preocupacao,tentativa de suicidio,nao especificado,catatonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
111,anedonia,ruminacao,retraimento social,nao especificado,alteracoes de peso significativas,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
112,tristeza,recordacao intrusiva,choro,nao especificado,alteracoes no apetite,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
113,culpa delirante,perda de interesse,suicida,nao especificado,insonia,evento traumatico,> 2 semanas,transtorno depressivo maior
114,sentimentos de inutilidade,dificuldade para pensar,tentativa de suicidio,nao especificado,hipersonia,perda significativa,> 2 semanas,transtorno depressivo maior
115,desesperanca,dificuldade de concentracao,retraimento social,nao especificado,perturbacoes do sono,neuroticismo,> 2 semanas,transtorno depressivo maior
116,angustia generalizada,indecisao,choro,nao especificado,perturbacoes psicomotoras,herdabilidade,> 2 semanas,transtorno depressivo maior
117,autoaversao,pensamentos recorrentes de morte,suicida,nao especificado,fadiga persistente,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
118,sentimentos de desvalia,ideacao suicida,tentativa de suicidio,nao especificado,perda de energia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
119,sofrimento intenso,plano suicida,retraimento social,nao especificado,sintomas somaticos,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
120,melancolia,problemas de memoria,choro,nao especificado,catatonia,evento traumatico,> 2 semanas,transtorno depressivo maior
121,humor deprimido,preocupacao,suicida,nao especificado,alteracoes de peso significativas,perda significativa,> 2 semanas,transtorno depressivo maior
122,disforia,ruminacao,tentativa de suicidio,nao especificado,alteracoes no apetite,neuroticismo,> 2 semanas,transtorno depressivo maior
123,anedonia,recordacao intrusiva,retraimento social,nao especificado,insonia,herdabilidade,> 2 semanas,transtorno depressivo maior
124,tristeza,perda de interesse,choro,nao especificado,hipersonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
125,culpa delirante,dificuldade para pensar,suicida,nao especificado,perturbacoes do sono,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
126,sentimentos de inutilidade,dificuldade de concentracao,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
127,desesperanca,indecisao,retraimento social,nao especificado,fadiga persistente,evento traumatico,> 2 semanas,transtorno depressivo maior
128,angustia generalizada,pensamentos recorrentes de morte,choro,nao especificado,perda de energia,perda significativa,> 2 semanas,transtorno depressivo maior
129,autoaversao,ideacao suicida,suicida,nao especificado,sintomas somaticos,neuroticismo,> 2 semanas,transtorno depressivo maior
130,sentimentos de desvalia,plano suicida,tentativa de suicidio,nao especificado,catatonia,herdabilidade,> 2 semanas,transtorno depressivo maior
131,sofrimento intenso,problemas de memoria,retraimento social,nao especificado,alteracoes de peso significativas,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
132,melancolia,preocupacao,choro,nao especificado,alteracoes no apetite,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
133,humor deprimido,ruminacao,suicida,nao especificado,insonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
134,disforia,recordacao intrusiva,tentativa de suicidio,nao especificado,hipersonia,evento traumatico,> 2 semanas,transtorno depressivo maior
135,anedonia,perda de interesse,retraimento social,nao especificado,perturbacoes do sono,perda significativa,> 2 semanas,transtorno depressivo maior
136,tristeza,dificuldade para pensar,choro,nao especificado,perturbacoes psicomotoras,neuroticismo,> 2 semanas,transtorno depressivo maior
137,culpa delirante,dificuldade de concentracao,suicida,nao especificado,fadiga persistente,herdabilidade,> 2 semanas,transtorno depressivo maior
138,sentimentos de inutilidade,indecisao,tentativa de suicidio,nao especificado,perda de energia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
139,desesperanca,pensamentos recorrentes de morte,retraimento social,nao especificado,sintomas somaticos,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
140,angustia generalizada,ideacao suicida,choro,nao especificado,catatonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
141,autoaversao,plano suicida,suicida,nao especificado,alteracoes de peso significativas,evento traumatico,> 2 semanas,transtorno depressivo maior
142,sentimentos de desvalia,problemas de memoria,tentativa de suicidio,nao especificado,alteracoes no apetite,perda significativa,> 2 semanas,transtorno depressivo maior
143,sofrimento intenso,preocupacao,retraimento social,nao especificado,insonia,neuroticismo,> 2 semanas,transtorno depressivo maior
144,melancolia,ruminacao,choro,nao especificado,hipersonia,herdabilidade,> 2 semanas,transtorno depressivo maior
145,humor deprimido,recordacao intrusiva,suicida,nao especificado,perturbacoes do sono,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
146,disforia,perda de interesse,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
147,anedonia,dificuldade para pensar,retraimento social,nao especificado,fadiga persistente,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
148,tristeza,dificuldade de concentracao,choro,nao especificado,perda de energia,evento traumatico,> 2 semanas,transtorno depressivo maior
149,culpa delirante,indecisao,suicida,nao especificado,sintomas somaticos,perda significativa,> 2 semanas,transtorno depressivo maior
150,sentimentos de inutilidade,pensamentos recorrentes de morte,tentativa de suicidio,nao especificado,catatonia,neuroticismo,> 2 semanas,transtorno depressivo maior
151,desesperanca,ideacao suicida,retraimento social,nao especificado,alteracoes de peso significativas,herdabilidade,> 2 semanas,transtorno depressivo maior
152,angustia generalizada,plano suicida,choro,nao especificado,alteracoes no apetite,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
153,autoaversao,problemas de memoria,suicida,nao especificado,insonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
154,sentimentos de desvalia,preocupacao,tentativa de suicidio,nao especificado,hipersonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
155,sofrimento intenso,ruminacao,retraimento social,nao especificado,perturbacoes do sono,evento traumatico,> 2 semanas,transtorno depressivo maior
156,melancolia,recordacao intrusiva,choro,nao especificado,perturbacoes psicomotoras,perda significativa,> 2 semanas,transtorno depressivo maior
157,humor deprimido,perda de interesse,suicida,nao especificado,fadiga persistente,neuroticismo,> 2 semanas,transtorno depressivo maior
158,disforia,dificuldade para pensar,tentativa de suicidio,nao especificado,perda de energia,herdabilidade,> 2 semanas,transtorno depressivo maior
159,anedonia,dificuldade de concentracao,retraimento social,nao especificado,sintomas somaticos,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
160,tristeza,indecisao,choro,nao especificado,catatonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
161,culpa delirante,pensamentos recorrentes de morte,suicida,nao especificado,alteracoes de peso significativas,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
162,sentimentos de inutilidade,ideacao suicida,tentativa de suicidio,nao especificado,alteracoes no apetite,evento traumatico,> 2 semanas,transtorno depressivo maior
163,desesperanca,plano suicida,retraimento social,nao especificado,insonia,perda significativa,> 2 semanas,transtorno depressivo maior
164,angustia generalizada,problemas de memoria,choro,nao especificado,hipersonia,neuroticismo,> 2 semanas,transtorno depressivo maior
165,autoaversao,preocupacao,suicida,nao especificado,perturbacoes do sono,herdabilidade,> 2 semanas,transtorno depressivo maior
166,sentimentos de desvalia,ruminacao,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
167,sofrimento intenso,recordacao intrusiva,retraimento social,nao especificado,fadiga persistente,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
168,melancolia,perda de interesse,choro,nao especificado,perda de energia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
169,humor deprimido,dificuldade para pensar,suicida,nao especificado,sintomas somaticos,evento traumatico,> 2 semanas,transtorno depressivo maior
170,disforia,dificuldade de concentracao,tentativa de suicidio,nao especificado,catatonia,perda significativa,> 2 semanas,transtorno depressivo maior
171,anedonia,indecisao,retraimento social,nao especificado,alteracoes de peso significativas,neuroticismo,> 2 semanas,transtorno depressivo maior
172,tristeza,pensamentos recorrentes de morte,choro,nao especificado,alteracoes no apetite,herdabilidade,> 2 semanas,transtorno depressivo maior
173,culpa delirante,ideacao suicida,suicida,nao especificado,insonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
174,sentimentos de inutilidade,plano suicida,tentativa de suicidio,nao especificado,hipersonia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
175,desesperanca,problemas de memoria,retraimento social,nao especificado,perturbacoes do sono,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
176,angustia generalizada,preocupacao,choro,nao especificado,perturbacoes psicomotoras,evento traumatico,> 2 semanas,transtorno depressivo maior
177,autoaversao,ruminacao,suicida,nao especificado,fadiga persistente,perda significativa,> 2 semanas,transtorno depressivo maior
178,sentimentos de desvalia,recordacao intrusiva,tentativa de suicidio,nao especificado,perda de energia,neuroticismo,> 2 semanas,transtorno depressivo maior
179,sofrimento intenso,perda de interesse,retraimento social,nao especificado,sintomas somaticos,herdabilidade,> 2 semanas,transtorno depressivo maior
180,melancolia,dificuldade para pensar,choro,nao especificado,catatonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
181,humor deprimido,dificuldade de concentracao,suicida,nao especificado,alteracoes de peso significativas,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
182,disforia,indecisao,tentativa de suicidio,nao especificado,alteracoes no apetite,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
183,anedonia,pensamentos recorrentes de morte,retraimento social,nao especificado,insonia,evento traumatico,> 2 semanas,transtorno depressivo maior
184,tristeza,ideacao suicida,choro,nao especificado,hipersonia,perda significativa,> 2 semanas,transtorno depressivo maior
185,culpa delirante,plano suicida,suicida,nao especificado,perturbacoes do sono,neuroticismo,> 2 semanas,transtorno depressivo maior
186,sentimentos de inutilidade,problemas de memoria,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,herdabilidade,> 2 semanas,transtorno depressivo maior
187,desesperanca,preocupacao,retraimento social,nao especificado,fadiga persistente,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
188,angustia generalizada,ruminacao,choro,nao especificado,perda de energia,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
189,autoaversao,recordacao intrusiva,suicida,nao especificado,sintomas somaticos,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
190,sentimentos de desvalia,perda de interesse,tentativa de suicidio,nao especificado,catatonia,evento traumatico,> 2 semanas,transtorno depressivo maior
191,sofrimento intenso,dificuldade para pensar,retraimento social,nao especificado,alteracoes de peso significativas,perda significativa,> 2 semanas,transtorno depressivo maior
192,melancolia,dificuldade de concentracao,choro,nao especificado,alteracoes no apetite,neuroticismo,> 2 semanas,transtorno depressivo maior
193,humor deprimido,indecisao,suicida,nao especificado,insonia,herdabilidade,> 2 semanas,transtorno depressivo maior
194,disforia,pensamentos recorrentes de morte,tentativa de suicidio,nao especificado,hipersonia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
195,anedonia,ideacao suicida,retraimento social,nao especificado,perturbacoes do sono,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
196,tristeza,plano suicida,choro,nao especificado,perturbacoes psicomotoras,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
197,culpa delirante,problemas de memoria,suicida,nao especificado,fadiga persistente,evento traumatico,> 2 semanas,transtorno depressivo maior
198,sentimentos de inutilidade,preocupacao,tentativa de suicidio,nao especificado,perda de energia,perda significativa,> 2 semanas,transtorno depressivo maior
199,desesperanca,ruminacao,retraimento social,nao especificado,sintomas somaticos,neuroticismo,> 2 semanas,transtorno depressivo maior
200,angustia generalizada,recordacao intrusiva,choro,nao especificado,catatonia,herdabilidade,> 2 semanas,transtorno depressivo maior
201,autoaversao,perda de interesse,suicida,nao especificado,alteracoes de peso significativas,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
202,sentimentos de desvalia,dificuldade para pensar,tentativa de suicidio,nao especificado,alteracoes no apetite,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
203,sofrimento intenso,dificuldade de concentracao,retraimento social,nao especificado,insonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
204,melancolia,indecisao,choro,nao especificado,hipersonia,evento traumatico,> 2 semanas,transtorno depressivo maior
205,humor deprimido,pensamentos recorrentes de morte,suicida,nao especificado,perturbacoes do sono,perda significativa,> 2 semanas,transtorno depressivo maior
206,disforia,ideacao suicida,tentativa de suicidio,nao especificado,perturbacoes psicomotoras,neuroticismo,> 2 semanas,transtorno depressivo maior
207,anedonia,plano suicida,retraimento social,nao especificado,fadiga persistente,herdabilidade,> 2 semanas,transtorno depressivo maior
208,tristeza,problemas de memoria,choro,nao especificado,perda de energia,transtornos subjacentes,> 2 semanas,transtorno depressivo maior
209,culpa delirante,preocupacao,suicida,nao especificado,sintomas somaticos,condicoes medicas cronicas,> 2 semanas,transtorno depressivo maior
210,sentimentos de inutilidade,ruminacao,tentativa de suicidio,nao especificado,catatonia,condicoes medicas incapacitantes,> 2 semanas,transtorno depressivo maior
211,desesperanca,recordacao intrusiva,retraimento social,nao especificado,alteracoes de peso significativas,evento traumatico,> 2 semanas,transtorno depressivo maior
212,angustia generalizada,perda de interesse,choro,nao especificado,alteracoes no apetite,perda significativa,> 2 semanas,transtorno depressivo maior
